id,الفعل الماضي,الجذر,باب الصرفي,اللزوم والتعدي,تم تدقيقه,تم إعادة تدقيقه,صحيح (الجذر حقيقي),المرجع ( المصدر ),المصدر
4243,كَلَى,كلي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,كَلْي
4244,كَمَأَ,كمء,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,1, لسان العرب ,كَمْء
4245,كَمِئَ,كمء,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَمأ
4246,كَمَتَ,كمت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,كُمُوت
4247,كَمُتَ,كمت,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,كُمْتَة
4248,كَمَحَ,كمح,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,1, لسان العرب,كَمْح
4249,كَمَخَ,كمخ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,1, لسان العرب,كُمُوخ
4250,كَمَدَ,كمد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كَمْد
4251,كَمِدَ,كمد,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَمَد
4252,كَمِرَ,كمر,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَمَر
4253,خَرَزَ,خرز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,خَرْز
4254,كَمَزَ,كمز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,كَمْز
4255,كَمَسَ,كمس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,كُمُوس
4256,كَمَشَ,كمش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كَمْش
4257,كَمِشَ,كمش,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَمَش
4258,كَمُشَ,كمش,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,كَمَاشَة
4259,كَمَعَ,كمع,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,1, لسان العرب,كَمْع
4260,كَمَلَ,كمل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,كَمَال
4261,كَمِلَ,كمل,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَمَال
4262,كَمُلَ,كمل,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب ,كَمَال
4263,كَمَّ,كمم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,كَمّ
4264,كَمَّ,كمم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,كَمّ
4265,كَمَنَ,كمن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كُمُون
4266,كَمِنَ,كمن,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَمَن
4267,كَمِهَ,كمه,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَمَه
4268,كَمَى,كمي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب,كَمْي
4269,كَنَبَ,كنب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كُنُوب
4270,كَنَبَ,كنب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,كُنُوب
4271,كَنِبَ,كنب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَنَب
4272,كَنَتَ,كنت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,كُنُوت
4273,كَنِتَ,كنت,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَنَت
4274,كَنَدَ,كند,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كُنُود
4275,كَنَدَ,كند,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب,كُنُود
4276,كَنَزَ,كنز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,كَنْز
4277,كَنَزَ,كنز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,كَنْز
4278,كَنَسَ,كنس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كَنْس
4279,كَنَسَ,كنس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب,كَنْس
4280,كَنَشَ,كنش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,كَنْش
4281,كَنَظَ,كنظ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,كَنْظ
4282,كَنَظَ,كنظ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,كَنْظ
4283,كَنَعَ,كنع,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,1, لسان العرب ,كُنُوع
4284,كَنِعَ,كنع,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَنَع
4285,خَرِزَ,خرز,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,خَرَز
4286,كَنَفَ,كنف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كَنْف
4287,كَنَفَ,كنف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب,كَنْف
4288,كَنَّ,كنن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,كَنّ
4289,كَنَهَ,كنه,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,كَنْه
4290,كَنَا,كنو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كَنْو
4291,كَنَى,كني,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب ,كِنَايَة
4292,كَهِبَ,كهب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَهَب
4293,كَهُبَ,كهب,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,كُهْبَة
4294,كَهَدَ,كهد,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,1, لسان العرب,كَهْد
4295,كَهَرَ,كهر,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,1, لسان العرب ,كَهْر
4296,كَهَمَ,كهم,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,1, لسان العرب ,كُهُوم
4297,كَهُمَ,كهم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب ,كَهَامة
4298,كَهَنَ,كهن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,كَهَانَة
4299,كَهَنَ,كهن,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,0,1,1, لسان العرب,كَهَانَة
4300,كَهُنَ,كهن,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,كَهَانَة
4301,كَهَّ,كهه,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,كَهِيح
4302,كَهَّ,كهه,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,كَهِيح
4303,كَهِيَ,كهي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَهى
4304,كَاءَ,كوء,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كَيْء
4305,كَابَ,كوب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,كَوْب
4306,كَوِبَ,كوب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَوَب
4307,كَاحَ,كوح,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كَوْح
4308,كَادَ,كود,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كَيْد
4309,كَوِدَ,كود,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَوَد
4310,كَارَ,كور,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كَوْر
4311,كَازَ,كوز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كَوْز
4312,كَاسَ,كوس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,كَوْس
4313,كَاشَ,كوش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,كَوْش
4314,كَاعَ,كوع,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,كَوْع
4315,كَوِعَ,كوع,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,كَوَع
4316,خَرَسَ,خرس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,خَرْس
4317,كَافَ,كوف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,كَوْف
4318,كَامَ,كوم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,كَوْم
4319,كَوِمَ,كوم,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,كَوْم
4320,كَانَ,كون,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,كَوَم
4321,كَاهَ,كوه,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,كَوْه
4322,كَوِهَ,كوه,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,كَوَه
4323,كَوَى,كوي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,كَيّ
4324,كَاءَ,كيء,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,كَيْء
4325,كَاحَ,كيح,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,كَوْح
4326,كَيِحَ,كيح,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,كَيْح
4327,كَادَ,كيد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,كَيْد
4328,كَارَ,كير,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,كَوْر
4329,كَاسَ,كيس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,كَيْس
4330,كَاصَ,كيص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,كَيْص
4331,كَاعَ,كيع,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,كَوْع
4332,كَافَ,كيف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,كَيْف
4333,كَالَ,كيل,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,كَيْل
4334,كَانَ,كين,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,كَوْن
4335,كَاهَ,كيه,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,كَوْه
4336,لَأَطَ,لءط,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَأْط
4337,لَأَظَ,لءظ,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَأْظ
4338,لَأَفَ,لءف,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَأْف
4339,لَأَمَ,لءم,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَأْم
4340,لَؤُمَ,لءم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لُؤْم
4341,لَأَى,لءي,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,0,1,0, لسان العرب,لَأْي
4342,لَبَأَ,لبء,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَبْء
4343,لَبَّ,لبب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَبّ
4344,لَبَّ,لبب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,لَبّ
4345,لَبَّ,لبب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبّ
4346,لَبَّ,لبب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبّ
4347,خَرِسَ,خرس,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,خَرَس
4348,لَبَّ,لبب,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لَبّ
4349,لَبَّ,لبب,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لَبّ
4350,لَبَتَ,لبت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَبْت
4351,لَبِثَ,لبث,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبْث
4352,لَبَجَ,لبج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَبْج
4353,لَبَحَ,لبح,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,0,1,0, لسان العرب,لَبْح
4354,لَبَخَ,لبخ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَبْخ
4355,لَبَدَ,لبد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَبْد
4356,لَبَدَ,لبد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,لَبْد
4357,لَبِدَ,لبد,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لُبُود
4358,لَبَزَ,لبز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَبْز
4359,لَبَسَ,لبس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَبْس
4360,لَبِسَ,لبس,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,0, لسان العرب,لُبْس
4361,لَبَطَ,لبط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَبْط
4362,لَبَقَ,لبق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَبَاقَة
4363,لَبِقَ,لبق,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبَاقَة
4364,لَبُقَ,لبق,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لَبَاقَة
4365,لَبَكَ,لبك,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَبْك
4366,لَبِكَ,لبك,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبَك
4367,لَبَنَ,لبن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَبْن
4368,لَبَنَ,لبن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَبْن
4369,لَبِنَ,لبن,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبَن
4370,لَبِيَ,لبي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَبَى
4371,لَتَأَ,لتء,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَتْأ
4372,لَتَبَ,لتب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَتْب
4373,لَتَّ,لتت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَتّ
4374,لَتَحَ,لتح,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَتْح
4375,لَتِحَ,لتح,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَتَح
4376,لَتَدَ,لتد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,لَتْد
4377,خَرَشَ,خرش,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,خَرْش
4378,لَتَزَ,لتز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَتْز
4379,لَتَزَ,لتز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,لَتْز
4380,لَتَمَ,لتم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَتْم
4381,لَثَأَ,لثء,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,0,1,0, لسان العرب,لَثْأ
4382,لَثَّ,لثث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَثّ
4383,لَثَدَ,لثد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,لَثْد
4384,لَثَغَ,لثغ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَثْغ
4385,لَثِغَ,لثغ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَثَغ
4386,لَثِقَ,لثق,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَثَاقَة
4387,لَثَمَ,لثم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَثْم
4388,لَثِمَ,لثم,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,0, لسان العرب,لَثَام
4389,لَثِيَ,لثي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَثَى
4390,لَجَأَ,لجء,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,0,1,0, لسان العرب,لُجُوء
4391,لَجِئَ,لجء,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لُجُوء
4392,لَجِبَ,لجب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَجَب
4393,لَجُبَ,لجب,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لُجُوب
4394,لَجَّ,لجج,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,لَجّ
4395,لَجَّ,لجج,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَجّ
4396,لَجَذَ,لجذ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَجْذ
4397,لَجِذَ,لجذ,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,0, لسان العرب,لَجَذ
4398,لَجَفَ,لجف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,لَجْف
4399,لَجِفَ,لجف,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَجَف
4400,لَجَمَ,لجم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَجْم
4401,لَجَنَ,لجن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَجْن
4402,لَجِنَ,لجن,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَجَن
4403,لَحَبَ,لحب,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْب
4404,لَحِبَ,لحب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَحَب
4405,لَحَتَ,لحت,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَحْت
4406,خَرَصَ,خرص,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,خَرْص
4407,لَحَجَ,لحج,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْج
4408,لَحِجَ,لحج,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,0, لسان العرب,لَحَج
4409,لَحَّ,لحح,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,لَحّ
4410,لَحَّ,لحح,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَحّ
4411,لَحَّ,لحح,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَحّ
4412,لَحَدَ,لحد,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْد
4413,لَحَزَ,لحز,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْز
4414,لَحِزَ,لحز,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَحَز
4415,لَحَسَ,لحس,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَحْس
4416,لَحِسَ,لحس,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,0, لسان العرب,لَحْس
4417,لَحَصَ,لحص,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْص
4418,لَحِصَ,لحص,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَحْص
4419,لَحَطَ,لحط,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَحْط
4420,لَحَظَ,لحظ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْظ
4421,لَحَفَ,لحف,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْف
4422,لَحِقَ,لحق,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,0, لسان العرب,لُحُوق
4423,لَحَكَ,لحك,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْك
4424,لَحِكَ,لحك,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,0, لسان العرب,لَحَك
4425,لَحَمَ,لحم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَحْم
4426,لَحَمَ,لحم,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَحْم
4427,لَحِمَ,لحم,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,0, لسان العرب,لُحُوم
4428,لَحُمَ,لحم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لُحُوم
4429,لَحَنَ,لحن,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَحْن
4430,لَحِنَ,لحن,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,0, لسان العرب,لَحَن
4431,لَحَا,لحو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَحْي
4432,لَحَى,لحي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,0, لسان العرب,لَحْي
4433,لَحَى,لحي,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَحْي
4434,لَخَبَ,لخب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,0, لسان العرب,لَخْب
4435,لَخَبَ,لخب,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَخْب
4436,لَخَّ,لخخ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,0, لسان العرب,لَخّ
4437,خَرَصَ,خرص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,0, لسان العرب,خَرْص
4438,لَخَّ,لخخ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,0, لسان العرب,لَخّ
4439,لَخَّ,لخخ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَخّ
4440,لَخَّ,لخخ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَخّ
4441,لَخَصَ,لخص,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَخْص
4442,لَخِصَ,لخص,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,0, لسان العرب,لَخَاصَة
4443,لَخَفَ,لخف,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,0, لسان العرب,لَخْف
4444,لَخَمَ,لخم,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,0,1,0, لسان العرب,لَخْم
4445,لَخُمَ,لخم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,0, لسان العرب,لُخُوم
