id,الفعل الماضي,الجذر,باب الصرفي,اللزوم والتعدي,تم تدقيقه,تم إعادة تدقيقه,صحيح (الجذر حقيقي),المرجع ( المصدر ),المصدر
3166,غَشِيَ,غشي,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,1, لسان العرب,غَشْي
3167,غَصَبَ,غصب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَشَيَان
3168,غَصَّ,غصص,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَصْب
3169,غَصَّ,غصص,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَصَص
3170,غَصَنَ,غصن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَصّ
3171,غَضِبَ,غضب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غُصُون
3172,غَضَرَ,غضر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,غَضَب
3173,خَتَلَ,ختل,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَضْر
3174,غَضَرَ,غضر,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب ,خَتْل
3175,غَضِرَ,غضر,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,1, لسان العرب,غُضُور
3176,غَضُرَ,غضر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,غَضَارَة
3177,غَضَّ,غضض,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَضّ
3178,غَضَّ,غضض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَضَاضَة
3179,غَضَّ,غضض,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَضِيض
3180,غَضَفَ,غضف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَضْف
3181,غَضِفَ,غضف,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَضَف
3182,غَضَنَ,غضن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,غَضْن
3183,غَضَنَ,غضن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب ,غُضُون
3184,غَضِنَ,غضن,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَضَن
3185,غَضَا,غضو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,غَضْو
3186,غَضِيَ,غضي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَضًى
3187,غَطَسَ,غطس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَطْس
3188,غَطَشَ,غطش,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَطْش
3189,غَطِشَ,غطش,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَطَش
3190,غَطَّ,غطط,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَطّ
3191,غَطَّ,غطط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَطِيط
3192,غَطِفَ,غطف,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَطَف
3193,غَطَلَ,غطل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,غَطْل
3194,غَطِلَ,غطل,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَطَل
3195,غَطَا,غطو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَطْو
3196,غَطَى,غطي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَطْي
3197,غَفَرَ,غفر,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب,غُفُْرَانًا
3198,غَفِرَ,غفر,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَفَر
3199,غَفَقَ,غفق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَفْق
3200,غَفَلَ,غفل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غُفُول
3201,غَفَا,غفو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,غَفْو
3202,غَفَى,غفي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَفْي
3203,غَفِيَ,غفي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَفًى
3204,غَقَّ,غقق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَقِيق
3205,غَلَبَ,غلب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَلَب
3206,غَلِبَ,غلب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَلَب
3207,غَلَتَ,غلت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَلْت
3208,غَلِتَ,غلت,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَلَت
3209,غَلَثَ,غلث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَلْث
